family,genus,specificEpithet,species
Pteridaceae,Pteris,decurrens,Pteris decurrens
Pteridaceae,Pteris,deflexa,Pteris deflexa
Pteridaceae,Pteris,denticulata,Pteris denticulata
Pteridaceae,Pteris,propinqua,Pteris propinqua
Pteridaceae,Pteris,quadriaurita,Pteris quadriaurita
Pteridaceae,Pteris,sericea,Pteris sericea
Pteridaceae,Pteris,splendens,Pteris splendens
Pteridaceae,Pteris,vittata,Pteris vittata
Pteridaceae,Tryonia,"Schuettp.,","Tryonia Schuettp.,"
Pteridaceae,Tryonia,areniticola,Tryonia areniticola
Pteridaceae,Tryonia,myriophylla,Tryonia myriophylla
Pteridaceae,Vittaria,Sm.,Vittaria Sm.
Pteridaceae,Vittaria,graminifolia,Vittaria graminifolia
Pteridaceae,Vittaria,lineata,Vittaria lineata
Pteridaceae,Vittaria,scabrida,Vittaria scabrida
Salviniaceae,Martinov,,Martinov 
Salviniaceae,Azolla,Lam.,Azolla Lam.
Salviniaceae,Azolla,caroliniana,Azolla caroliniana
Salviniaceae,Azolla,filiculoides,Azolla filiculoides
Salviniaceae,Salvinia,Ség.,Salvinia Ség.
Salviniaceae,Salvinia,auriculata,Salvinia auriculata
Salviniaceae,Salvinia,biloba,Salvinia biloba
Salviniaceae,Salvinia,herzogii,Salvinia herzogii
Salviniaceae,Salvinia,minima,Salvinia minima
Salviniaceae,Salvinia,molesta,Salvinia molesta
Schizaeaceae,Kaulf.,,Kaulf. 
Schizaeaceae,Actinostachys,Wall.,Actinostachys Wall.
Schizaeaceae,Actinostachys,pennula,Actinostachys pennula
Schizaeaceae,Schizaea,Sm.,Schizaea Sm.
Schizaeaceae,Schizaea,elegans,Schizaea elegans
Selaginellaceae,Willk.,,Willk. 
Selaginellaceae,Selaginella,P.Beauv.,Selaginella P.Beauv.
Selaginellaceae,Selaginella,decomposita,Selaginella decomposita
Selaginellaceae,Selaginella,kraussiana,Selaginella kraussiana
Selaginellaceae,Selaginella,marginata,Selaginella marginata
Selaginellaceae,Selaginella,microphylla,Selaginella microphylla
Selaginellaceae,Selaginella,muscosa,Selaginella muscosa
Selaginellaceae,Selaginella,sellowii,Selaginella sellowii
Selaginellaceae,Selaginella,sulcata,Selaginella sulcata
Selaginellaceae,Selaginella,tenuissima,Selaginella tenuissima
Tectariaceae,Panigrahi,,Panigrahi 
Tectariaceae,Tectaria,Cav.,Tectaria Cav.
Tectariaceae,Tectaria,incisa,Tectaria incisa
Thelypteridaceae,Pic.Serm.,,Pic.Serm. 
Thelypteridaceae,Amauropelta,Kunze,Amauropelta Kunze
Thelypteridaceae,Amauropelta,amambayensis,Amauropelta amambayensis
Thelypteridaceae,Amauropelta,burkartii,Amauropelta burkartii
Thelypteridaceae,Amauropelta,decurtata,Amauropelta decurtata
Thelypteridaceae,Amauropelta,juergensii,Amauropelta juergensii
Thelypteridaceae,Amauropelta,metteniana,Amauropelta metteniana
Thelypteridaceae,Amauropelta,opposita,Amauropelta opposita
Thelypteridaceae,Amauropelta,pachyrhachis,Amauropelta pachyrhachis
Thelypteridaceae,Amauropelta,podotricha,Amauropelta podotricha
Thelypteridaceae,Amauropelta,ptarmica,Amauropelta ptarmica
Thelypteridaceae,Amauropelta,raddii,Amauropelta raddii
Thelypteridaceae,Amauropelta,recumbens,Amauropelta recumbens
Thelypteridaceae,Amauropelta,regnelliana,Amauropelta regnelliana
Thelypteridaceae,Amauropelta,retusa,Amauropelta retusa
Thelypteridaceae,Amauropelta,rivularioides,Amauropelta rivularioides
Thelypteridaceae,Amauropelta,stierii,Amauropelta stierii
Thelypteridaceae,Amauropelta,tenerrima,Amauropelta tenerrima
Thelypteridaceae,Christella,H.Lév.,Christella H.Lév.
Thelypteridaceae,Christella,conspersa,Christella conspersa
Thelypteridaceae,Christella,dentata,Christella dentata
Thelypteridaceae,Christella,hispidula,Christella hispidula
Thelypteridaceae,Cyclosorus,Link,Cyclosorus Link
Thelypteridaceae,Cyclosorus,interruptus,Cyclosorus interruptus
Thelypteridaceae,Goniopteris,C.,Goniopteris C.
Thelypteridaceae,Goniopteris,burkartii,Goniopteris burkartii
Thelypteridaceae,Goniopteris,riograndensis,Goniopteris riograndensis
Thelypteridaceae,Goniopteris,scabra,Goniopteris scabra
Thelypteridaceae,Macrothelypteris,(H.Ito),Macrothelypteris (H.Ito)
Thelypteridaceae,Macrothelypteris,torresiana,Macrothelypteris torresiana
Thelypteridaceae,Pelazoneuron,(Holttum),Pelazoneuron (Holttum)
Thelypteridaceae,Pelazoneuron,patens,Pelazoneuron patens
Woodsiaceae,Herter,,Herter 
Woodsiaceae,Woodsia,Spreng.,Woodsia Spreng.
Woodsiaceae,Woodsia,montevidensis,Woodsia montevidensis
